期数,日期,实际号码,命中情况,TOP5,TOP10,TOP15,排名,TOP5预测
219,2025/9/9,23,○ TOP15 (#12),,,✓,12,"[24, 28, 1, 8, 34]"
220,2025/9/10,33,✗ 未命中,,,,-,"[24, 1, 8, 34, 44]"
221,2025/9/11,17,✗ 未命中,,,,-,"[6, 8, 24, 34, 44]"
222,2025/9/12,42,○ TOP15 (#13),,,✓,13,"[44, 6, 8, 24, 25]"
223,2025/9/13,48,✗ 未命中,,,,-,"[6, 12, 24, 25, 44]"
224,2025/9/14,28,✗ 未命中,,,,-,"[6, 12, 25, 35, 44]"
225,2025/9/15,38,✗ 未命中,,,,-,"[6, 12, 23, 25, 35]"
226,2025/9/16,47,✗ 未命中,,,,-,"[12, 23, 25, 33, 35]"
227,2025/9/17,3,✓ TOP10 (#8),,✓,✓,8,"[12, 17, 23, 33, 35]"
228,2025/9/18,33,✅ TOP5 (#3),✓,✓,✓,3,"[17, 23, 33, 35, 42]"
229,2025/9/19,44,✗ 未命中,,,,-,"[17, 23, 42, 48, 33]"
230,2025/9/20,38,✗ 未命中,,,,-,"[17, 28, 42, 48, 33]"
231,2025/9/21,43,✗ 未命中,,,,-,"[17, 28, 42, 48, 38]"
232,2025/9/22,10,○ TOP15 (#14),,,✓,14,"[28, 42, 47, 48, 38]"
233,2025/9/23,41,✗ 未命中,,,,-,"[3, 28, 47, 48, 38]"
234,2025/9/24,29,✗ 未命中,,,,-,"[3, 28, 33, 47, 38]"
235,2025/9/25,10,✗ 未命中,,,,-,"[3, 33, 44, 47, 38]"
236,2025/9/26,31,✗ 未命中,,,,-,"[33, 3, 38, 44, 47]"
237,2025/9/27,35,✗ 未命中,,,,-,"[33, 3, 38, 43, 44]"
238,2025/9/28,6,○ TOP15 (#11),,,✓,11,"[33, 10, 38, 43, 44]"
239,2025/9/29,36,✗ 未命中,,,,-,"[38, 41, 43, 44, 10]"
240,2025/9/30,4,✗ 未命中,,,,-,"[29, 38, 41, 43, 10]"
241,2025/10/1,44,✗ 未命中,,,,-,"[10, 29, 41, 43, 17]"
242,2025/10/2,45,✗ 未命中,,,,-,"[10, 29, 31, 41, 17]"
243,2025/10/3,9,✗ 未命中,,,,-,"[29, 31, 10, 35, 41]"
244,2025/10/4,16,✗ 未命中,,,,-,"[29, 31, 6, 10, 35]"
245,2025/10/5,28,✗ 未命中,,,,-,"[31, 6, 10, 35, 36]"
246,2025/10/6,27,✗ 未命中,,,,-,"[31, 4, 6, 35, 36]"
247,2025/10/7,42,✗ 未命中,,,,-,"[4, 6, 35, 36, 44]"
248,2025/10/8,47,✗ 未命中,,,,-,"[4, 6, 36, 44, 45]"
249,2025/10/9,41,✗ 未命中,,,,-,"[4, 9, 36, 44, 45]"
250,2025/10/10,45,✅ TOP5 (#5),✓,✓,✓,5,"[4, 9, 16, 44, 45]"
251,2025/10/11,41,✗ 未命中,,,,-,"[9, 16, 28, 44, 45]"
252,2025/10/12,24,✗ 未命中,,,,-,"[9, 16, 27, 28, 41]"
253,2025/10/13,3,✓ TOP10 (#9),,✓,✓,9,"[9, 16, 27, 28, 42]"
254,2025/10/14,34,✗ 未命中,,,,-,"[16, 27, 28, 42, 47]"
255,2025/10/15,14,✗ 未命中,,,,-,"[27, 28, 42, 47, 41]"
256,2025/10/16,42,✅ TOP5 (#2),✓,✓,✓,2,"[27, 42, 45, 47, 41]"
257,2025/10/17,19,✗ 未命中,,,,-,"[41, 45, 47, 42, 1]"
258,2025/10/18,44,✗ 未命中,,,,-,"[41, 24, 45, 47, 1]"
259,2025/10/19,2,✓ TOP10 (#6),,✓,✓,6,"[41, 3, 24, 45, 1]"
260,2025/10/20,47,✗ 未命中,,,,-,"[24, 3, 34, 41, 45]"
261,2025/10/21,18,✓ TOP10 (#7),,✓,✓,7,"[24, 3, 14, 34, 41]"
262,2025/10/22,5,✗ 未命中,,,,-,"[24, 3, 14, 34, 42]"
263,2025/10/23,22,✓ TOP10 (#9),,✓,✓,9,"[19, 3, 14, 34, 42]"
264,2025/10/24,44,✅ TOP5 (#5),✓,✓,✓,5,"[19, 14, 34, 42, 44]"
265,2025/10/25,23,✓ TOP10 (#9),,✓,✓,9,"[19, 2, 14, 42, 44]"
266,2025/10/26,49,✗ 未命中,,,,-,"[2, 19, 42, 47, 44]"
267,2025/10/27,40,✗ 未命中,,,,-,"[2, 18, 19, 47, 44]"
268,2025/10/28,5,✅ TOP5 (#2),✓,✓,✓,2,"[2, 5, 18, 47, 44]"
269,2025/10/29,22,✅ TOP5 (#2),✓,✓,✓,2,"[18, 22, 2, 47, 5]"
270,2025/10/30,15,✗ 未命中,,,,-,"[5, 18, 44, 47, 22]"
271,2025/10/31,48,✗ 未命中,,,,-,"[18, 23, 44, 5, 22]"
272,2025/11/1,42,✗ 未命中,,,,-,"[23, 22, 44, 49, 5]"
273,2025/11/2,17,✗ 未命中,,,,-,"[23, 22, 40, 44, 49]"
274,2025/11/3,20,✗ 未命中,,,,-,"[5, 23, 40, 44, 49]"
275,2025/11/4,39,✗ 未命中,,,,-,"[5, 22, 23, 40, 49]"
276,2025/11/5,6,✓ TOP10 (#10),,✓,✓,10,"[5, 15, 22, 40, 49]"
277,2025/11/6,16,✗ 未命中,,,,-,"[22, 5, 15, 40, 48]"
278,2025/11/7,37,✗ 未命中,,,,-,"[22, 5, 15, 42, 48]"
279,2025/11/8,14,✗ 未命中,,,,-,"[17, 22, 15, 42, 48]"
280,2025/11/9,38,✗ 未命中,,,,-,"[17, 20, 15, 42, 48]"
281,2025/11/10,23,✓ TOP10 (#10),,✓,✓,10,"[17, 20, 39, 42, 48]"
282,2025/11/11,4,✗ 未命中,,,,-,"[17, 20, 6, 39, 42]"
283,2025/11/12,24,✓ TOP10 (#10),,✓,✓,10,"[17, 20, 6, 16, 39]"
284,2025/11/13,18,✓ TOP10 (#7),,✓,✓,7,"[20, 6, 16, 37, 39]"
285,2025/11/14,6,✅ TOP5 (#1),✓,✓,✓,1,"[6, 14, 16, 37, 39]"
286,2025/11/15,45,✗ 未命中,,,,-,"[37, 38, 14, 16, 6]"
287,2025/11/16,28,○ TOP15 (#14),,,✓,14,"[23, 14, 16, 37, 38]"
288,2025/11/17,23,✅ TOP5 (#3),✓,✓,✓,3,"[4, 14, 23, 37, 38]"
289,2025/11/18,47,✗ 未命中,,,,-,"[38, 4, 14, 24, 23]"
290,2025/11/19,9,○ TOP15 (#12),,,✓,12,"[4, 18, 24, 38, 23]"
291,2025/11/20,15,✗ 未命中,,,,-,"[4, 6, 18, 24, 23]"
292,2025/11/21,4,✅ TOP5 (#2),✓,✓,✓,2,"[45, 4, 6, 18, 24]"
293,2025/11/22,19,✗ 未命中,,,,-,"[45, 6, 18, 24, 28]"
294,2025/11/23,37,✓ TOP10 (#9),,✓,✓,9,"[45, 6, 18, 23, 28]"
295,2025/11/24,3,✗ 未命中,,,,-,"[23, 28, 6, 45, 47]"
296,2025/11/25,17,✓ TOP10 (#6),,✓,✓,6,"[23, 28, 9, 45, 47]"
297,2025/11/26,36,✓ TOP10 (#8),,✓,✓,8,"[47, 9, 15, 23, 28]"
298,2025/11/27,26,○ TOP15 (#12),,,✓,12,"[23, 4, 9, 15, 47]"
299,2025/11/28,26,✗ 未命中,,,,-,"[19, 4, 9, 15, 47]"
300,2025/11/29,6,✗ 未命中,,,,-,"[37, 4, 9, 15, 19]"
301,2025/11/30,46,✗ 未命中,,,,-,"[37, 3, 4, 15, 19]"
302,2025/12/1,44,✗ 未命中,,,,-,"[3, 4, 17, 19, 37]"
303,2025/12/2,17,✅ TOP5 (#2),✓,✓,✓,2,"[3, 17, 19, 36, 37]"
304,2025/12/3,9,○ TOP15 (#12),,,✓,12,"[3, 36, 37, 17, 26]"
305,2025/12/4,8,✓ TOP10 (#10),,✓,✓,10,"[26, 3, 36, 17, 1]"
306,2025/12/5,48,✗ 未命中,,,,-,"[26, 6, 36, 17, 1]"
307,2025/12/6,26,✅ TOP5 (#1),✓,✓,✓,1,"[26, 6, 36, 46, 18]"
308,2025/12/7,6,✅ TOP5 (#2),✓,✓,✓,2,"[26, 6, 44, 46, 1]"
309,2025/12/8,4,✗ 未命中,,,,-,"[17, 26, 44, 46, 6]"
310,2025/12/9,38,✗ 未命中,,,,-,"[17, 9, 44, 46, 6]"
311,2025/12/10,27,○ TOP15 (#14),,,✓,14,"[17, 8, 9, 44, 46]"
312,2025/12/11,24,○ TOP15 (#12),,,✓,12,"[17, 8, 9, 44, 48]"
313,2025/12/12,3,✗ 未命中,,,,-,"[48, 8, 9, 17, 26]"
314,2025/12/13,13,✗ 未命中,,,,-,"[26, 48, 6, 8, 9]"
315,2025/12/14,16,✗ 未命中,,,,-,"[26, 48, 4, 6, 8]"
316,2025/12/15,22,○ TOP15 (#11),,,✓,11,"[26, 38, 48, 4, 6]"
317,2025/12/16,49,✗ 未命中,,,,-,"[38, 4, 6, 26, 27]"
