period,top4,actual,is_hit,action,multiplier,bet_amount,profit,balance
1,"鼠, 兔, 狗, 猴",牛,❌,❌未中,1.0,16,-16,-16
2,"鼠, 狗, 兔, 虎",鸡,❌,❌未中,1.0,16,-16,-32
3,"鼠, 狗, 兔, 虎",虎,✅,✅命中,2.0,32,15,-17
4,"鼠, 兔, 狗, 羊",兔,✅,✅命中,1.0,16,31,14
5,"鼠, 狗, 猴, 羊",羊,✅,✅命中,1.0,16,31,45
6,"鼠, 狗, 猴, 猪",羊,❌,❌未中,1.0,16,-16,29
7,"鼠, 狗, 兔, 龙",蛇,❌,❌未中,1.0,16,-16,13
8,"鼠, 狗, 兔, 龙",龙,✅,✅命中,2.0,32,15,28
9,"猴, 鼠, 狗, 兔",猪,❌,❌未中,1.0,16,-16,12
10,"猴, 鼠, 兔, 狗",鼠,✅,✅命中,1.0,16,31,43
11,"猴, 兔, 狗, 虎",狗,✅,✅命中,1.0,16,31,74
12,"猴, 虎, 兔, 马",兔,✅,✅命中,1.0,16,31,105
13,"猴, 虎, 鼠, 马",猴,✅,✅命中,1.0,16,31,136
14,"鼠, 虎, 马, 狗",马,✅,✅命中,1.0,16,31,167
15,"鼠, 虎, 狗, 牛",鼠,✅,✅命中,1.0,16,31,198
16,"虎, 狗, 牛, 猴",鼠,❌,❌未中,1.0,16,-16,182
17,"虎, 狗, 牛, 猴",羊,❌,❌未中,1.0,16,-16,166
18,"虎, 猪, 狗, 兔",虎,✅,✅命中,2.0,32,15,181
19,"猴, 狗, 兔, 猪",蛇,❌,❌未中,1.0,16,-16,165
20,"牛, 猴, 猪, 狗",猪,✅,✅命中,1.0,16,31,196
21,"牛, 狗, 猴, 马",鸡,❌,❌未中,1.0,16,-16,180
22,"牛, 狗, 猴, 马",兔,❌,❌未中,1.0,16,-16,164
23,"牛, 狗, 龙, 猴",蛇,❌,❌未中,2.0,32,-32,132
24,"狗, 牛, 龙, 马",牛,✅,✅命中,2.0,32,15,147
25,"狗, 龙, 猴, 马",龙,✅,✅命中,1.0,16,31,178
26,"狗, 马, 猴, 虎",鼠,❌,❌未中,1.0,16,-16,162
27,"马, 猴, 狗, 虎",牛,❌,❌未中,1.0,16,-16,146
28,"马, 猴, 狗, 虎",猪,❌,❌未中,2.0,32,-32,114
29,"马, 猴, 狗, 鸡",兔,❌,❌未中,2.0,32,-32,82
30,"猴, 狗, 马, 鸡",蛇,🛑,连续4次不中-暂停,0.0,0,0,82
31,"马, 猴, 狗, 虎",猪,⏸️,暂停第2期,0.0,0,0,82
32,"狗, 猴, 马, 虎",鼠,🛑,连续4次不中-暂停,0.0,0,0,82
33,"狗, 马, 猴, 鸡",羊,⏸️,暂停第2期,0.0,0,0,82
34,"猴, 狗, 虎, 马",虎,🛑,连续4次不中-暂停,0.0,0,0,82
35,"马, 猴, 狗, 鸡",马,⏸️会中,暂停中-恢复,0.0,0,0,82
36,"猴, 狗, 鸡, 龙",虎,❌,❌未中,1.0,16,-16,66
37,"猴, 狗, 鸡, 牛",蛇,❌,❌未中,1.0,16,-16,50
38,"猴, 鸡, 狗, 龙",猪,❌,❌未中,2.0,32,-32,18
39,"猴, 鸡, 龙, 狗",蛇,❌,❌未中,2.0,32,-32,-14
40,"猴, 鸡, 龙, 狗",兔,🛑,连续4次不中-暂停,0.0,0,0,-14
41,"猴, 鸡, 龙, 狗",兔,⏸️,暂停第2期,0.0,0,0,-14
42,"狗, 鸡, 猴, 龙",羊,🛑,连续4次不中-暂停,0.0,0,0,-14
43,"狗, 鸡, 猴, 龙",马,⏸️,暂停第2期,0.0,0,0,-14
44,"猴, 狗, 鸡, 龙",猴,🛑,连续4次不中-暂停,0.0,0,0,-14
45,"狗, 鸡, 龙, 牛",马,⏸️,暂停第2期,0.0,0,0,-14
46,"狗, 龙, 鸡, 牛",蛇,🛑,连续4次不中-暂停,0.0,0,0,-14
47,"狗, 龙, 鸡, 猴",龙,⏸️会中,暂停中-恢复,0.0,0,0,-14
48,"狗, 鸡, 牛, 鼠",羊,❌,❌未中,1.0,16,-16,-30
49,"狗, 鸡, 牛, 猴",蛇,❌,❌未中,1.0,16,-16,-46
50,"狗, 鸡, 牛, 猴",羊,❌,❌未中,2.0,32,-32,-78
